epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,83361.1,1.18682,0.7666,1.16151,1,1,0.995,0.995,1.19898,0.68047,1.20252,0.0060895,0.0060895,0.0060895
81,84332.5,1.18276,0.75777,1.16027,1,1,0.995,0.995,1.19703,0.67901,1.20133,0.00604,0.00604,0.00604
82,85288.2,1.19006,0.76329,1.16149,1,1,0.995,0.995,1.19554,0.67744,1.20047,0.0059905,0.0059905,0.0059905
83,86254.6,1.18066,0.75713,1.15669,1,1,0.995,0.995,1.19364,0.67588,1.1994,0.005941,0.005941,0.005941
84,87216.9,1.17828,0.75965,1.15688,1,1,0.995,0.995,1.19157,0.6749,1.19823,0.0058915,0.0058915,0.0058915
85,88176.5,1.17951,0.75299,1.15629,1,1,0.995,0.995,1.18948,0.67348,1.19723,0.005842,0.005842,0.005842
86,89157.5,1.17561,0.74988,1.15505,1,1,0.995,0.995,1.18733,0.67199,1.19602,0.0057925,0.0057925,0.0057925
87,90110.7,1.17298,0.74948,1.15219,1,1,0.995,0.995,1.18532,0.67064,1.19499,0.005743,0.005743,0.005743
88,91065.4,1.16883,0.7428,1.15084,1,1,0.995,0.995,1.18341,0.66904,1.19413,0.0056935,0.0056935,0.0056935
89,92019.4,1.17165,0.74539,1.15155,1,1,0.995,0.995,1.18107,0.66743,1.19294,0.005644,0.005644,0.005644
90,92974.2,1.167,0.73974,1.14887,1,1,0.995,0.995,1.17893,0.66621,1.19186,0.0055945,0.0055945,0.0055945
91,93943.6,1.15725,0.74024,1.14289,1,1,0.995,0.995,1.1769,0.6648,1.19064,0.005545,0.005545,0.005545
92,94927.2,1.16261,0.7399,1.14801,1,1,0.995,0.995,1.17478,0.66378,1.18947,0.0054955,0.0054955,0.0054955
